Asambleista,Imagen,Género,Tipo de circunscripción,Circunscripción,jerarquiacircunscripcin,Suplente,Organización política,Comisiones,Cargo en comisión,Consejo de Administración Legislativa,Correo asambleísta,Twitter,Instagram
Barreto Zambrano Lenin Daniel,Lenin-Barreto.png,Masculino,Provincial,Manabí Distrito 1,Provincial>Manabí Distrito 1,Manuel Isidro Panezo Rojas,Alianza UNES,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Integrante,,lenin.barreto@asambleanacional.gob.ec,@LeninBarreto,leninbarreto
Cabascango Collaguazo José Fernando,Fernando-Cabascango.png,Masculino,Provincial,Pichincha Distrito 3,Provincial>Pichincha Distrito 3,Sandra Montenegro Vallejo,Pachakutik,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Presidente,,jose.cabascango@asambleanacional.gob.ec,@fernandocabas,
Cabezas Castillo Janeth Paola,Paola-Cabezas.png,Femenino,Nacional,Nacional,Nacional>Nacional,Mateo Flores Maggi,Alianza UNES,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Integrante,,janeth.cabezas@asambleanacional.gob.ec,@PaolaCabezasC,@paola_cabezas
Cabrera Palacios Hugo Marcelo,Hugo-Cabrera.png,Masculino,Provincial,Azuay,Provincial>Azuay,Diana Pesantez,Azuay Primero,"Desarrollo Económico, Productivo y la Microempresa",Integrante,,,@MarceloHCabrera,
Cadena Carrera Marlon Wulester,Marlon-Cadena.png,Masculino,Provincial,Pichincha Distrito 3,Provincial>Pichincha Distrito 3,Pujaña Pazmiño,Partido Izquierda Democrática,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Integrante,,marlon.cadena@asambleanacional.gob.ec,@marloncadenaec,
Calapucha Grefa Efrén Noé,Efren-Calapucha-.png,Masculino,Provincial,Pastaza,Provincial>Pastaza,Narcisa Medina,Pachakutik,Biodiversidad y Recursos Naturales,Integrante,,efren.calapucha@asambleanacional.gob.ec,@tankarana1,@efrennoecalapuchagrefa
Calo Caisalitin Peter Fernando,Peter-Calo.png,Masculino,Provincial,Cotopaxi,Provincial>Cotopaxi,Pilar Llano,Pachakutik,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Integrante,,peter.calo@asambleanacional.gob.ec,PeterFernandoC2,peter_calo_oficial
Campain Brambilla Rina Asunción,,Femenino,Provincial,Esmeraldas,Provincial>Esmeraldas,Carlos David Gallardo Cheme,CREO,Derecho al Trabajo y la Seguridad Social,Presidente,,rina.campain@asambleanacional.gob.ec,RinaCampainB,rinacampain
Castillo Cárdenas Jessica Carolina,Jessica-Castillo.png,Femenino,Provincial,Pichincha Distrito 2,Provincial>Pichincha Distrito 2,Alexander Hidalgo Muñoz,Pachakutik,Relaciones Internacionales y Movilidad Humana,Vicepresidente,,jessica.castillo@asambleanacional.gob.ec,@Jessica39010686,
Cedeño Rivadeneria Fernando Enrique,Fernando-Cedeno.png,Masculino,Provincial,Manabí Distrito 2,Provincial>Manabí Distrito 2,María Bustamante González,Alianza UNES,Relaciones Internacionales y Movilidad Humana,Integrante,,fernando.cedeno@asambleanacional.gob.ec,,
Cerda Cerda Rosa Elizabeth,Rosa-Cerda.png,Femenino,Provincial,Napo,Provincial>Napo,Alex Pérez,Pachakutik,Derecho a la Salud y Deporte,Integrante,,elizabeth.cerda@asambleanacional.gob.ec,,
Cervantes Villalba Luis Patricio,Patricio-Cervantes.png,Masculino,Provincial,Imbabura,Provincial>Imbabura,Abelardo Chachalo Alvear,CREO,Relaciones Internacionales y Movilidad Humana,Integrante,,luis.cervantes@asambleanacional.gob.ec,abpcervantes,cervantes.patricio
Cevallos Peña Omar Vicente,cevallos-OL.png,Masculino,Provincial,Guayas Distrito 4,Provincial>Guayas Distrito 4,,Independiente,Derecho al Trabajo y la Seguridad Social,Integrante,,omar.cevallos@asambleanacional.gob.ec,OmarCevallosP,omarcevallosp
Chávez Macías Marjorie de Los Ángeles,Marjorie-Chavez.png,Femenino,Provincial,Pichincha Distrito 1,Provincial>Pichincha Distrito 1,Felicia Barros Delgado,Partido Social Cristiano,Relaciones Internacionales y Movilidad Humana,Integrante,,marjorie.chavez@asambleanacional.gob.ec,@chavezjrchavez2,@chavezjrchavez2
Chávez Valencia José Ricardo,Ricardo-Chavez.png,Masculino,Provincial,Santo Domingo de los Tsáchilas,Provincial>Santo Domingo de los Tsáchilas,Miguel Angel Pavon,Alianza UNES,"Transparencia, Participación Ciudadana y Control Social",Integrante,,ricardo.chavez@asambleanacional.gob.ec,@marjoriechavezm,@marjoriechavezm
Chimbo Chimbo Segundo José,Jose-Chimbo.png,Masculino,Provincial,Bolívar,Provincial>Bolívar,Erika Rivadeneira,Pachakutik,Justicia y Estructura del Estado,Integrante,,segundo.chimbo@asambleanacional.gob.ec,,
Chiriboga High Guido Alberto,Guido-Chiriboga.png,Masculino,Provincial,Guayas Distrito 3,Provincial>Guayas Distrito 3,María Isabel Intriago,CREO,Régimen Económico y Tributario y su Regulación y Control,Integrante,,guido.chiriboga@asambleanacional.gob.ec,guido_chiriboga,guido_chiriboga
Chumpi Jua José Celestino,Jose-Chumpi.png,Masculino,Provincial,Morona Santiago,Provincial>Morona Santiago,Verónica Lituma,Pachakutik,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Presidente,,jose.chumpi@asambleanacional.gob.ec,@ChumpiJua,
Cordova Díaz Comps Pascacio,Comps-Cordova.png,Femenino,Provincial,Sucumbíos,Provincial>Sucumbíos,Andrea Girón Ramírez,Alianza UNES,Fiscalización y Control Político,Integrante,,comps.cordova@asambleanacional.gob.ec,@compscordova,
Corral Alava Raisa Irina,Raisa-Corral.png,Femenino,Nacional,Nacional,Nacional>Nacional,Victor Clemente Medina Mera,Alianza UNES,Relaciones Internacionales y Movilidad Humana,Integrante,,raisa.corral@asambleanacional.gob.ec,@RaisaCorral,"@raisacorral

"
Correa Delgado Pierina Sara Mercedes,Pierina-Correa.png,Femenino,Nacional,Nacional,Nacional>Nacional,Carlos Luis Acosta Coloma,Alianza UNES,"Protección Integral a Niñas, Niños y Adolescentes ",Presidente,,pierina.correa@asambleanacional.gob.ec,@pierinaescorrea,"@pierinaescorrea

"
Cruz Andrade Hugo Benjamin,Hugo-Cruz.png,Masculino,Provincial,Manabí Distrito 1,Provincial>Manabí Distrito 1,Oscar Tato Arcentales,Movimiento Construye,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Integrante,,hugo.cruz@asambleanacional.gob.ec,@HugoCruzAndrad,hugocruzandradealaasamblea
Cuero Medina Roberto Emilio,Roberto-Cuero.png,Masculino,Provincial,Guayas Distrito 1,Provincial>Guayas Distrito 1,Blanca Ytati López Castro,Alianza UNES,Fiscalización y Control Político,Integrante,,roberto.cuero@asambleanacional.gob.ec,rcuero68,roberto.cuero
Cuesta Santana Esther Adelina,Esther-Cuesta.png,Femenino,Exterior,"Europa, Asia y Oceanía","Exterior>Europa, Asia y Oceanía",Jose Victor Kaviedes Ferrin,Alianza UNES,"Protección Integral a Niñas, Niños y Adolescentes ",Integrante,,esther.cuesta@asambleanacional.gob.ec,esthercuestasan,esthercuestasantana
Curicama Guamán Mariano,Mariano-Curicama.png,Masculino,Provincial,Chimborazo,Provincial>Chimborazo,Vanessa Estrada,MINGA,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Presidente,,mariano.curicama@asambleanacional.gob.ec,,
Desintonio Malave Victoria Tatiana,Victoria-Desintonio.png,Femenino,Provincial,Guayas Distrito 2,Provincial>Guayas Distrito 2,Jorge Erwin Destintonio Malavé,Alianza UNES,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Vicepresidente,,victoria.desintonio@asambleanacional.gob.ec,VickyDesintonio,victoria.desintonio
Diab Aguilar María Soledad,Soledad-Diab.png,Femenino,Provincial,Guayas Distrito 3,Provincial>Guayas Distrito 3,,Alianza Partido Social Cristiano - Madera de Guerrero,Fiscalización y Control Político,Integrante,,maria.diab@asambleanacional.gob.ec,SoledadDiab,soledaddiab
Enrríquez Jaya Isabel María,Isabel-Enriquez.png,Femenino,Provincial,Zamora Chinchipe,Provincial>Zamora Chinchipe,Miguel Sarango,Alianza por la Dignidad de Zamora Chinchipe,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Integrante,,isabel.enrriquez@asambleanacional.gob.ec,@Isabel_EJ,
Esparza Aguirre Diego Fernando,Diego-Esparza.png,Masculino,Provincial,Zamora Chinchipe,Provincial>Zamora Chinchipe,Daysi Guicela Jiménez Parra,Alianza Honestidad,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Integrante,,diego.esparza@asambleanacional.gob.ec,@DiegoEsparza_17,
Espín Reyes Eugenia Sofía,Sofia-Espin.png,Femenino,Provincial,Guayas Distrito 1,Provincial>Guayas Distrito 1,Juan Carlos Pulido Tamayo,Alianza UNES,Justicia y Estructura del Estado,Integrante,,sofia.espin@asambleanacional.gob.ec,SofiaEspinRC,sofiaespinrcec
Fajardo Campoverde Rodrigo Olmedo,Rodrigo-Fajardo.png,Masculino,Provincial,Azuay,Provincial>Azuay,Gisella Cañar,Partido Izquierda Democrática,"Soberanía, Integración y Seguridad Integral",Integrante,,rodrigo.fajardo@asambleanacional.gob.ec,@rodrigolfc55,rodrigo_fajardo01
Falquez Batallas Pedro Carlos,Carlos-Falquez.png,Masculino,Provincial,El Oro,Provincial>El Oro,Mercedes Serrano,Partido Social Cristiano,"Transparencia, Participación Ciudadana y Control Social",Integrante,,pedro.falquez@asambleanacional.gob.ec,,carlosfalquezb
Farinango Quilumbaquín Dina Maribel,Diana-Farinango.png,Femenino,Provincial,Pichincha Distrito 4,Provincial>Pichincha Distrito 4,Vicente Ludeña Camacho,Pachakutik,Justicia y Estructura del Estado,Vicepresidente,,dina.farinango@asambleanacional.gob.ec,@DinaFarinangoEc,@dinafarinango
Flores Arroyo Juan Fernando,Juan-Fernando-Flores.png,Masculino,Exterior,"América Latina, El Caribe y África","Exterior>América Latina, El Caribe y África",Carla Cruz,CREO,Relaciones Internacionales y Movilidad Humana,Presidente,,juan.flores@asambleanacional.gob.ec,@juanflores18,jffa18
Freire Vergara Vanessa Lorena,Vanessa-Freire.png,Femenino,Provincial,Los Ríos,Provincial>Los Ríos,Alexis Matute Matute,Independiente,"Protección Integral a Niñas, Niños y Adolescentes ",Integrante,,vanessa.freire@asambleanacional.gob.ec,vfbabahoyo,vanessafreirevergara
Frias Borja Edwin Ramiro,Ramiro-Frias.png,Masculino,Provincial,Tungurahua,Provincial>Tungurahua,Sebastián Marcos Romero Caicedo.,Partido Izquierda Democrática,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Integrante,,edwin.frias@asambleanacional.gob.ec,,
González Alcívar Luisa Magdalena,Luisa-Gonzales.png,Femenino,Provincial,Manabí Distrito 1,Provincial>Manabí Distrito 1,Diana Carolina Avellán Álava,Alianza UNES,Derecho a la Salud y Deporte,Integrante,,luisa.gonzalez@asambleanacional.gob.ec,@LuisaGonzalezEc,
González Valero Ronal Eduardo,Ronal-Gonzalez.png,Masculino,Provincial,Los Ríos,Provincial>Los Ríos,Paola Macías,Alianza UNES,Derecho a la Salud y Deporte,Integrante,,ronal.gonzalez@asambleanacional.go,,
Guamán Rivera Augusto Alejandro,Augusto-Guaman.png,Masculino,Provincial,Sucumbíos,Provincial>Sucumbíos,Pamela Mera,Movimiento Acuerdo Ecuatoriano,"Soberanía, Integración y Seguridad Integral",Integrante,,augusto.guaman@asambleanacional.gob.ec,@AugustoGuamanEc,@augustoguaman
Guamaní Vásquez Ludvia Yeseña,Yesena-Guamani.png,Femenino,Provincial,Pichincha Distrito 4,Provincial>Pichincha Distrito 4,Jorge Ayala,Partido Izquierda Democrática,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Vicepresidente,,ludvia.guamani@asambleanacional.gob.ec,@yesguamani,"@yes_guamani

"
Guanoluisa Farinango Amparo Rocío,Rocio-Guanolisa.png,Femenino,Provincial,Pichincha Distrito 2,Provincial>Pichincha Distrito 2,Luis Reinoso,Partido Izquierda Democrática,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Vicepresidente,,amparo.guanoluisa@asambleanacional.gob.ec,,"@rocioguanoluisa_

"
Herrera Gómez Ana Cecilia,Ana-Herrera.png,Femenino,Provincial,Cotopaxi,Provincial>Cotopaxi,Franklin Arce Luis,Alianza UNES,Régimen Económico y Tributario y su Regulación y Control,Integrante,,ana.herrera@asambleanacional.gob.ec,@AnaHerreraGomez,
Holguín Naranjo Marcela Priscila,Marcela-Holguin.png,Femenino,Provincial,Pichincha Distrito 1,Provincial>Pichincha Distrito 1,Jorge Ruíz Pozo,Alianza UNES,Derecho al Trabajo y la Seguridad Social,Integrante,,marcela.holguin@asambleanacional.gob.ec,@marcelaholguin,@marcelaholguinn
Jachero Robalino Washington Elías        ,Elias-Jachero-Robalino.png,Masculino,Provincial,Pastaza,Provincial>Pastaza,Daniela Vallejo,Independiente,Relaciones Internacionales y Movilidad Humana,Integrante,,"elias.jachero@asambleanacional.gob.ec
",@eliasjachero,"@elias_jachero

"
Jaramillo Gómez Cesar Alejandro,Alejandro-Jaramillo.png,Masculino,Provincial,Pichincha Distrito 1,Provincial>Pichincha Distrito 1,Veronica Carrillo,Partido Izquierda Democrática,Justicia y Estructura del Estado,Presidente,,alejandro.jaramillo@asambleanacional.gob.ec,@JaramilloG_A,
Jarrín Terán Fausto Alejandro,Fausto-Jarrin.png,Masculino,Provincial,Pichincha Distrito 4,Provincial>Pichincha Distrito 4,Gissela Garzón Monteros,Alianza UNES,Justicia y Estructura del Estado,Integrante,,fausto.jarrin@asambleanacional.gob.ec,@Sandinin,"@sandinin

"
Jiménez Sánchez Francisco Eduardo,Francisco-Jimenez.png,Masculino,Provincial,Guayas Distrito 2,Provincial>Guayas Distrito 2,,CREO,"Desarrollo Económico, Productivo y la Microempresa",Integrante,,francisco.jimenez@asambleanacional.gob.ec,Asambleistabel1,asambleista_bellajimenez
Jiménez Torres Bella Daniela,Bella-Jimenez.png,Femenino,Provincial,Guayas Distrito 1,Provincial>Guayas Distrito 1,Briana Villao,Independiente,Derecho a la Salud y Deporte,Integrante,Segunda Vicepresidenta,bella.jimenez@asambleanacional.gob.ec,panchojimenezs,panchojimenezs
Jurado Bedran Xavier Andrés,Xavier-Jurado.png,Masculino,Provincial,Guayas Distrito 4,Provincial>Guayas Distrito 4,Eleana Romero Rodríguez,Alianza UNES,"Soberanía, Integración y Seguridad Integral",Integrante,,xavier.jurado@asambleanacional.gob.ec,XavierJurado82,
Kronfle Kozhaya Henry Fabián,Henry-Kronfle.png,Masculino,Nacional,Nacional,Nacional>Nacional,María Lourdes Alarcón ,Partido Social Cristiano,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Integrante,,henry.kronfle@asambleanacional.gob.ec,@HenryKronfle,@henrykronfle
Lara Rivadeneira Lenin Jose,Lenin-Lara.png,Masculino,Provincial,Esmeraldas,Provincial>Esmeraldas,Lupe Pinto Herrería,Centro Democrático,"Protección Integral a Niñas, Niños y Adolescentes ",Integrante,,lenin.lara@asambleanacional.gob.ec,compalenin,
León Flores Francisco Javier,flores-ol.png,Masculino,Provincial,Guayas Distrito 4,Provincial>Guayas Distrito 4,Emilia Ruíz Ronquillo,Independiente,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Integrante,,francisco.leon@asambleanacional.gob.ec,Franciscoleonf5,panchofranciscol
Lloret Valdivieso Juan Cristóbal,Juan-Cristobal-Lloret.png,Masculino,Provincial,Azuay,Provincial>Azuay,Fernanda Mendez Rojas,Alianza UNES,Biodiversidad y Recursos Naturales,Integrante,,juan.lloret@asambleanacional.gob.ec,@jotalloretv,jotalloretv
Llori Abarca Esperanza Guadalupe,Guadalupe-Llori.png,Femenino,Provincial,Orellana,Provincial>Orellana,Stalin Miguel Aguirre,Alianza Renace La Esperanza,No aplica,Integrante,Presidenta,"guadalupe.llori@asambleanacional.gob.ec
",@GuadalupeLlori,@guadalupellori
Lucero Sisa Rafael,Rafael-Lucero.png,Masculino,Provincial,Chimborazo,Provincial>Chimborazo,Dennis Acaro,Pachakutik,Derecho a la Salud y Deporte,Integrante,,rafael.lucero@asambleanacional.gob.ec,,rafaelluceroasambleista
Luna Arévalo Blasco Remigio,,Masculino,Provincial,Cañar,Provincial>Cañar,Cristina Buñay Quichimbo,Alianza UNES,Régimen Económico y Tributario y su Regulación y Control,Integrante,,blasco.luna@asambleanacional.gob.ec,,
Maita Zapata Angel Salvador,Salvador-Maita.png,Masculino,Exterior,EEUU y Canadá,Exterior>EEUU y Canadá,Silvia Capuz,Pachakutik,Relaciones Internacionales y Movilidad Humana,Integrante,,angel.maita@asambleanacional.gob.ec,Salvadormz,
Maldonado Ontaneda Byron Vinicio,Byron-Maldonado.png,Masculino,Provincial,Loja,Provincial>Loja,Mercedes Melania Correa,CREO,Régimen Económico y Tributario y su Regulación y Control,Integrante,,byron.maldonado@asambleanacional.gob.ec,bvmalo,byronmaldonado
Marcillo Ruiz Luis Aníbal,Luis-Marcillo.png,Masculino,Provincial,Imbabura,Provincial>Imbabura,,Partido Izquierda Democrática,Derecho al Trabajo y la Seguridad Social,Vicepresidente,,luis.marcillo@asambleanacional.gob.ec,,
Mateus Acosta Gustavo Enrique,Gustavo-Mateus.png,Masculino,Exterior,"Europa, Asia y Oceanía","Exterior>Europa, Asia y Oceanía",Margarita Del Cisne Guerrero Calderón,Alianza UNES,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Integrante,,gustavo.mateus@asambleanacional.gob.ec,GustavoMateusA,
Mayorga Tapia Rosa Belén,Belen-Mayorga.png,Femenino,Provincial,Tungurahua,Provincial>Tungurahua,Carmen Andagana Pacari,Alianza UNES,"Transparencia, Participación Ciudadana y Control Social",Integrante,,rosa.mayorga@asambleanacional.gob.ec,,
Medina Quizhpe Manuel Asunción,Manuel-Medina.png,Masculino,Provincial,Loja,Provincial>Loja,Alexandra Patricia Granda Castillo,Minka por la Vida,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Presidente,,manuel.medina@asambleanacional.gob.ec,MedinaQuizhpe,medinaquizhpem
Mendoza Hurtado Eduardo Israel,Eduardo-Mendoza-.png,Masculino,Provincial,Los Ríos,Provincial>Los Ríos,Verónica Herrera,Partido Político Avanza,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Integrante,,eduardo.mendoza@asambleanacional.gob.ec,,
Mendoza Jiménez Patricia Monserrat,Patricia-Mendoza.png,Femenino,Provincial,Esmeraldas,Provincial>Esmeraldas,Edison Robinzon Ribera,Centro Democrático,Derecho a la Salud y Deporte,Integrante,,patricia.mendoza@asambleanacional.gob.ec,,
Mera Cedeño Lenin Francisco,Lenin-Mera.png,Masculino,Provincial,Santa Elena,Provincial>Santa Elena,Daysee Alfonso Villón,Alianza UNES,"Protección Integral a Niñas, Niños y Adolescentes ",Vicepresidente,,lenin.mera@asambleanacional.gob.ec,@lenin_mera,"@leninmerac

"
Miranda Giler Lyne Katiuska,Katiuska-Giler.png,Femenino,Provincial,Manabí Distrito 2,Provincial>Manabí Distrito 2,Tomas Burgos Piza,Alianza UNES,"Transparencia, Participación Ciudadana y Control Social",Integrante,,lyne.miranda@asambleanacional.gob.ec,@KatiuskaMEc,"@katiuskamec

"
Molina Álvarez Gissella Cecibel,Gisella-Molina.png,Femenino,Provincial,Cotopaxi,Provincial>Cotopaxi,,Pachakutik,Biodiversidad y Recursos Naturales,Integrante,,gissella.molina@asambleanacional.gob.ec,,
Molina Jurado Marcos Raúl Luis,Marcos-Molina.png,Masculino,Provincial,Guayas Distrito 2,Provincial>Guayas Distrito 2,Efraín Chiguano,Partido Izquierda Democrática,Derecho a la Salud y Deporte,Presidente,,marcos.molina@asambleanacional.gob.ec,gissmolina2021,gissmolina2021
Molina Menéndez María Gabriela,Gabriela-Molina-1.png,Femenino,Provincial,Manabí Distrito 2,Provincial>Manabí Distrito 2,Francisco Alejandro Hidalgo Franco,Alianza UNES,Fiscalización y Control Político,Integrante,,gabriela.molina@asambleanacional.gob.ec,@MG_MOLINAM,
Monge Ortega Cesar Santiago,Cesar-Monge.png,Masculino,Nacional,Nacional,Nacional>Nacional,Ana Belén Cordero Cuesta ,CREO,Fiscalización y Control Político,Integrante,,,@CesarMongeO,@cesarmongeo
Moreira Córdova Johanna Nicole,Johanna-Moreira.png,Femenino,Provincial,El Oro,Provincial>El Oro,Joseph Geovanny Villacreses Quevedo,Partido Izquierda Democrática,Justicia y Estructura del Estado,Integrante,Cuarta vocal,nicole.moreira@asambleanacional.gob.ec,johannamoreirac,johannamoreirac
Muñoz López Christian Pabel,Pabel-Munoz.png,Masculino,Provincial,Pichincha Distrito 3,Provincial>Pichincha Distrito 3,Jahiren Elizabeh Noriega Donoso,Alianza UNES,Régimen Económico y Tributario y su Regulación y Control,Integrante,,pabel.munoz@asambleanacional.gob.ec,@pabelml,
Narváez Garzón Ramiro Vladimir,Ramiro-Narvaez.png,Masculino,Provincial,Carchi,Provincial>Carchi,Mónica Ati,Partido Izquierda Democrática,"Soberanía, Integración y Seguridad Integral",Presidente,,ramiro.narvaez@asambleanacional.gob.ec,@ramironarvaezg,ramironarvaezgarzon
Noboa Azin Daniel Roy-Gilchrist,Daniel-Noboa.png,Masculino,Provincial,Santa Elena,Provincial>Santa Elena,Ana León,Movimiento Ecuatoriano Unido,"Desarrollo Económico, Productivo y la Microempresa",Presidente,,daniel.noboa@asambleanacional.gob.ec,@DanielNoboaOk,"@danielnoboaok

"
Nuñez Ramos Silvia Patricia,Patricia-Nunez.png,Femenino,Provincial,Chimborazo,Provincial>Chimborazo,Antonio Peredes,Alianza UNES,"Soberanía, Integración y Seguridad Integral",Integrante,,silvia.nunez@asambleanacional.gob.ec,@patynunezr1,patricianunez_rc
Ordoñez Guerrero Diego Hernán,Diego-Ordonez.png,Masculino,Provincial,Pichincha Distrito 3,Provincial>Pichincha Distrito 3,Blanca Sacancela,Alianza CREO - ADE,Régimen Económico y Tributario y su Regulación y Control,Integrante,,diego.ordonez@asambleanacional.gob.ec,@diegoordonezg,"@diegoordonezg

"
Ortiz Jarrín Javier Eduardo,Javier-Ortiz.png,Masculino,Provincial,Esmeraldas,Provincial>Esmeraldas,Juan Carlos Torres Diaz,Partido Social Cristiano,"Protección Integral a Niñas, Niños y Adolescentes ",Integrante,,javier.ortiz@asambleanacional.gob.ec,johaortizv,johaortizv
